pH_Condition,U_V,Current_mA_cm2
pH=1,-0.173910234,-13.50784364
pH=1,-0.17117252,-13.00262038
pH=1,-0.166350939,-11.95835945
pH=1,-0.14850943,-7.915411923
pH=1,-0.132617053,-5.323710685
pH=1,-0.113978171,-3.112047902
pH=1,-0.097235743,-1.591469603
pH=1,-0.071172414,-0.001089527
pH=1,-0.050858833,0.758828899
pH=1,0.00013887,2.020727532
pH=1,0.032606346,2.526405909
pH=1,0.12,2.73
pH=1,0.199287193,2.731030086
pH=1,0.219287193,2.741030086
pH=2,-0.256782703,-13.35755789
pH=2,-0.254056658,-13.02072859
pH=2,-0.251435137,-12.68527019
pH=2,-0.247704487,-12.20147426
pH=2,-0.245829584,-11.82136506
pH=2,-0.235576882,-10.58594648
pH=2,-0.230916563,-10.02439259
pH=2,-0.227185913,-9.540596658
pH=2,-0.216015515,-8.400184158
pH=2,-0.211351005,-7.778162844
pH=2,-0.201104888,-6.637764494
pH=2,-0.195525675,-6.153940267
pH=2,-0.190870743,-5.67013019
pH=2,-0.18155669,-4.642042619
pH=2,-0.171327933,-3.752152136
pH=2,-0.165754706,-3.354709933
pH=2,-0.156461605,-2.628959443
pH=2,-0.150889575,-2.248793645
pH=2,-0.124910316,-0.814455876
pH=2,-0.110072722,-0.105896895
pH=2,-0.079221015,0.857595551
pH=2,-0.023046575,1.968601706
pH=2,0.012104862,2.383773095
pH=2,0.048828414,2.610851136
pH=2,0.090279235,2.746200713
pH=2,0.201092497,2.781575857
pH=2.5,-0.982005196,-13.31814184
pH=2.5,-0.980183554,-13.03184453
pH=2.5,-0.977925313,-12.76549723
pH=2.5,-0.976069566,-12.6618105
pH=2.5,-0.974213819,-12.55812377
pH=2.5,-0.968656157,-12.38527483
pH=2.5,-0.966802804,-12.31614091
pH=2.5,-0.964939874,-12.10879576
pH=2.5,-0.963084127,-12.00510903
pH=2.5,-0.96122838,-11.90142231
pH=2.5,-0.957526465,-11.83226009
pH=2.5,-0.951971197,-11.69396396
pH=2.5,-0.948254914,-11.41748488
